Best Time taken to sort Bestresults_datasize_500_mean_2.0_variance_0.75.csv: 0.2683 milliseconds
Worst Time taken to sort Worstresults_datasize_500_mean_2.0_variance_0.75.csv: 77.1967 milliseconds
********************************************************************************

Average Time taken to sort results_datasize_500_mean_3.0_variance_0.25.csv: 46.1188 milliseconds
Best Time taken to sort Bestresults_datasize_500_mean_3.0_variance_0.25.csv: 0.3088 milliseconds
Worst Time taken to sort Worstresults_datasize_500_mean_3.0_variance_0.25.csv: 74.4924 milliseconds
********************************************************************************

Average Time taken to sort results_datasize_500_mean_3.0_variance_0.5.csv: 47.6873 milliseconds
Best Time taken to sort Bestresults_datasize_500_mean_3.0_variance_0.5.csv: 0.2861 milliseconds
Worst Time taken to sort Worstresults_datasize_500_mean_3.0_variance_0.5.csv: 74.192 milliseconds
********************************************************************************

Average Time taken to sort results_datasize_500_mean_3.0_variance_0.75.csv: 49.5556 milliseconds
Best Time taken to sort Bestresults_datasize_500_mean_3.0_variance_0.75.csv: 0.2715 milliseconds
Worst Time taken to sort Worstresults_datasize_500_mean_3.0_variance_0.75.csv: 72.9545 milliseconds
********************************************************************************

Average Time taken to sort results_datasize_100_mean_1.0_variance_0.25.csv: 3.1995 milliseconds
Best Time taken to sort Bestresults_datasize_100_mean_1.0_variance_0.25.csv: 0.0361 milliseconds
Worst Time taken to sort Worstresults_datasize_100_mean_1.0_variance_0.25.csv: 1.2995 milliseconds
********************************************************************************

Average Time taken to sort results_datasize_100_mean_1.0_variance_0.5.csv: 1.5098 milliseconds
Best Time taken to sort Bestresults_datasize_100_mean_1.0_variance_0.5.csv: 0.0364 milliseconds
Worst Time taken to sort Worstresults_datasize_100_mean_1.0_variance_0.5.csv: 1.2535 milliseconds
********************************************************************************

Average Time taken to sort results_datasize_100_mean_1.0_variance_0.75.csv: 4.8767 milliseconds
Best Time taken to sort Bestresults_datasize_100_mean_1.0_variance_0.75.csv: 0.0393 milliseconds
Worst Time taken to sort Worstresults_datasize_100_mean_1.0_variance_0.75.csv: 1.3605 milliseconds
********************************************************************************

Average Time taken to sort results_datasize_100_mean_2.0_variance_0.25.csv: 0.7553 milliseconds
Best Time taken to sort Bestresults_datasize_100_mean_2.0_variance_0.25.csv: 0.0427 milliseconds
Worst Time taken to sort Worstresults_datasize_100_mean_2.0_variance_0.25.csv: 1.7786 milliseconds
********************************************************************************

Average Time taken to sort results_datasize_100_mean_2.0_variance_0.5.csv: 0.7125 milliseconds
Best Time taken to sort Bestresults_datasize_100_mean_2.0_variance_0.5.csv: 0.0344 milliseconds
Worst Time taken to sort Worstresults_datasize_100_mean_2.0_variance_0.5.csv: 1.2428 milliseconds
********************************************************************************

Average Time taken to sort results_datasize_100_mean_2.0_variance_0.75.csv: 0.7834 milliseconds
Best Time taken to sort Bestresults_datasize_100_mean_2.0_variance_0.75.csv: 0.0367 milliseconds
Worst Time taken to sort Worstresults_datasize_100_mean_2.0_variance_0.75.csv: 1.2953 milliseconds
********************************************************************************

Average Time taken to sort results_datasize_100_mean_3.0_variance_0.25.csv: 0.5547 milliseconds
Best Time taken to sort Bestresults_datasize_100_mean_3.0_variance_0.25.csv: 0.0246 milliseconds
Worst Time taken to sort Worstresults_datasize_100_mean_3.0_variance_0.25.csv: 0.885 milliseconds
********************************************************************************

Average Time taken to sort results_datasize_100_mean_3.0_variance_0.5.csv: 0.4799 milliseconds
Best Time taken to sort Bestresults_datasize_100_mean_3.0_variance_0.5.csv: 0.0234 milliseconds
Worst Time taken to sort Worstresults_datasize_100_mean_3.0_variance_0.5.csv: 0.8737 milliseconds
********************************************************************************

Average Time taken to sort results_datasize_100_mean_3.0_variance_0.75.csv: 2.1077 milliseconds
Best Time taken to sort Bestresults_datasize_100_mean_3.0_variance_0.75.csv: 0.0232 milliseconds
Worst Time taken to sort Worstresults_datasize_100_mean_3.0_variance_0.75.csv: 0.9517 milliseconds
********************************************************************************

Average Time taken to sort results_datasize_200_mean_1.0_variance_0.25.csv: 3.8817 milliseconds
Best Time taken to sort Bestresults_datasize_200_mean_1.0_variance_0.25.csv: 0.0706 milliseconds
Worst Time taken to sort Worstresults_datasize_200_mean_1.0_variance_0.25.csv: 5.4437 milliseconds
********************************************************************************

Average Time taken to sort results_datasize_200_mean_1.0_variance_0.5.csv: 4.9172 milliseconds
Best Time taken to sort Bestresults_datasize_200_mean_1.0_variance_0.5.csv: 0.0572 milliseconds
Worst Time taken to sort Worstresults_datasize_200_mean_1.0_variance_0.5.csv: 3.8685 milliseconds
********************************************************************************

Average Time taken to sort results_datasize_200_mean_1.0_variance_0.75.csv: 2.7613 milliseconds
Best Time taken to sort Bestresults_datasize_200_mean_1.0_variance_0.75.csv: 0.0594 milliseconds
Worst Time taken to sort Worstresults_datasize_200_mean_1.0_variance_0.75.csv: 3.5722 milliseconds
********************************************************************************

Average Time taken to sort results_datasize_200_mean_2.0_variance_0.25.csv: 2.7551 milliseconds
Best Time taken to sort Bestresults_datasize_200_mean_2.0_variance_0.25.csv: 0.0585 milliseconds
Worst Time taken to sort Worstresults_datasize_200_mean_2.0_variance_0.25.csv: 4.4763 milliseconds
********************************************************************************

Average Time taken to sort results_datasize_200_mean_2.0_variance_0.5.csv: 2.7512 milliseconds
Best Time taken to sort Bestresults_datasize_200_mean_2.0_variance_0.5.csv: 0.0694 milliseconds
Worst Time taken to sort Worstresults_datasize_200_mean_2.0_variance_0.5.csv: 4.4508 milliseconds
********************************************************************************

Average Time taken to sort results_datasize_200_mean_2.0_variance_0.75.csv: 2.8658 milliseconds
Best Time taken to sort Bestresults_datasize_200_mean_2.0_variance_0.75.csv: 0.0584 milliseconds
Worst Time taken to sort Worstresults_datasize_200_mean_2.0_variance_0.75.csv: 3.5882 milliseconds
********************************************************************************

Average Time taken to sort results_datasize_200_mean_3.0_variance_0.25.csv: 2.4481 milliseconds
Best Time taken to sort Bestresults_datasize_200_mean_3.0_variance_0.25.csv: 0.066 milliseconds
Worst Time taken to sort Worstresults_datasize_200_mean_3.0_variance_0.25.csv: 3.4189 milliseconds
********************************************************************************

Average Time taken to sort results_datasize_200_mean_3.0_variance_0.5.csv: 2.6694 milliseconds
Best Time taken to sort Bestresults_datasize_200_mean_3.0_variance_0.5.csv: 0.0547 milliseconds
Worst Time taken to sort Worstresults_datasize_200_mean_3.0_variance_0.5.csv: 4.3824 milliseconds
********************************************************************************

Average Time taken to sort results_datasize_200_mean_3.0_variance_0.75.csv: 2.7763 milliseconds
Best Time taken to sort Bestresults_datasize_200_mean_3.0_variance_0.75.csv: 0.054 milliseconds
Worst Time taken to sort Worstresults_datasize_200_mean_3.0_variance_0.75.csv: 4.3614 milliseconds
********************************************************************************

Average Time taken to sort results_datasize_500_mean_1.0_variance_0.25.csv: 50.5434 milliseconds
Best Time taken to sort Bestresults_datasize_500_mean_1.0_variance_0.25.csv: 0.3657 milliseconds
Worst Time taken to sort Worstresults_datasize_500_mean_1.0_variance_0.25.csv: 92.8388 milliseconds
********************************************************************************

Average Time taken to sort results_datasize_500_mean_1.0_variance_0.5.csv: 51.9647 milliseconds
Best Time taken to sort Bestresults_datasize_500_mean_1.0_variance_0.5.csv: 0.3903 milliseconds
Worst Time taken to sort Worstresults_datasize_500_mean_1.0_variance_0.5.csv: 81.6843 milliseconds
********************************************************************************

Average Time taken to sort results_datasize_500_mean_1.0_variance_0.75.csv: 51.8388 milliseconds
Best Time taken to sort Bestresults_datasize_500_mean_1.0_variance_0.75.csv: 0.2856 milliseconds
Worst Time taken to sort Worstresults_datasize_500_mean_1.0_variance_0.75.csv: 82.8375 milliseconds
********************************************************************************

Average Time taken to sort results_datasize_500_mean_2.0_variance_0.25.csv: 50.3729 milliseconds
Best Time taken to sort Bestresults_datasize_500_mean_2.0_variance_0.25.csv: 0.2865 milliseconds
Worst Time taken to sort Worstresults_datasize_500_mean_2.0_variance_0.25.csv: 77.7848 milliseconds
********************************************************************************

